feature_name,date_code,measure,response,percent,gender,urban_rural_classification,simd_quintiles,type_of_tenure,household_type,ethnicity
South Lanarkshire,2017,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,62,Male,All,All,All,All,All
Perth and Kinross,2016,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,80,All,All,All,All,Adults,All
Scotland,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,62,All,All,All,All,Pensioners,All
Scotland,2013,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,62,All,All,All,All,Pensioners,All
Stirling,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,74,Male,All,All,All,All,All
Perth and Kinross,2016,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,78,All,All,All,All,With Children,All
Scotland,2013,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,66,Female,All,All,All,All,All
Scotland,2013,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,69,Male,All,All,All,All,All
South Ayrshire,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,59,All,All,All,All,All,All
South Lanarkshire,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,73,All,All,All,All,All,All
Shetland Islands,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,79,All,All,All,All,All,All
Midlothian,2014,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,74,All,All,All,All,All,All
West Dunbartonshire,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,55,All,All,All,All,All,All
Orkney Islands,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,56,All,All,All,All,All,All
North Ayrshire,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,55,All,All,All,All,All,All
Glasgow City,2014,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,48,All,All,All,All,All,All
Renfrewshire,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,38,All,All,All,All,All,All
Perth and Kinross,2014,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,66,All,All,All,All,All,All
Scottish Borders,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,80,All,All,All,All,All,All
North Ayrshire,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,70,All,All,All,All,All,All
West Dunbartonshire,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,64,All,All,All,All,All,All
Highland,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,82,All,All,All,All,All,All
Highland,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,79,All,All,All,All,All,All
Inverclyde,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,56,All,All,All,All,All,All
East Dunbartonshire,2014,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,69,All,All,All,All,All,All
Midlothian,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,79,All,All,All,All,All,All
Midlothian,2016,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,71,All,All,All,All,Pensioners,All
Midlothian,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,86,All,All,All,All,With Children,All
West Lothian,2014,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,61,All,All,All,All,All,All
Midlothian,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,79,All,All,All,All,Adults,All
West Lothian,2014,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,50,All,All,All,All,All,All
Glasgow City,2014,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,61,All,All,All,All,All,All
Midlothian,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,64,All,All,All,All,All,All
South Ayrshire,2016,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,73,All,All,All,All,All,All
South Ayrshire,2016,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,77,All,All,All,All,Adults,All
South Ayrshire,2016,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,81,Male,All,All,All,All,All
Aberdeen City,2013,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,65,Male,All,All,All,All,All
Stirling,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,78,All,All,All,All,Adults,All
Aberdeen City,2013,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,68,All,All,All,All,With Children,All
South Lanarkshire,2017,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,59,All,All,All,All,Adults,All
Stirling,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,75,All,All,All,All,Pensioners,All
South Lanarkshire,2017,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,65,All,All,All,All,With Children,All
Scotland,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,69,Male,All,All,All,All,All
Scotland,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,67,All,All,All,All,All,All
Glasgow City,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,43,All,All,All,All,Pensioners,All
Scotland,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,67,All,All,All,All,Adults,All
Glasgow City,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,55,All,All,All,All,Adults,All
Glasgow City,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,54,Female,All,All,All,All,All
Glasgow City,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,55,All,All,All,All,All,All
South Ayrshire,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,78,All,All,All,All,Adults,All
Scotland,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,65,Female,All,All,All,All,All
South Ayrshire,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,75,All,All,All,All,All,All
Glasgow City,2014,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,47,All,All,All,All,Pensioners,All
South Ayrshire,2014,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,73,Male,All,All,All,All,All
Glasgow City,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,63,All,All,All,All,With Children,All
South Ayrshire,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,64,All,All,All,All,Pensioners,All
South Ayrshire,2014,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,77,All,All,All,All,All,All
South Ayrshire,2014,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,80,Female,All,All,All,All,All
South Ayrshire,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,82,All,All,All,All,With Children,All
South Ayrshire,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,69,Female,All,All,All,All,All
South Ayrshire,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,83,Male,All,All,All,All,All
East Ayrshire,2014,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,75,All,Urban,All,All,All,All
Scottish Borders,2013,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,66,All,Urban,All,All,All,All
Glasgow City,2017,distance_to_nearest_green_or_blue_space,Don't Know,1,All,All,All,All,Adults,All
Glasgow City,2017,distance_to_nearest_green_or_blue_space,Don't Know,2,All,All,All,All,All,All
Inverclyde,2019,distance_to_nearest_green_or_blue_space,Don't Know,2,All,Urban,All,All,All,All
City of Edinburgh,2019,distance_to_nearest_green_or_blue_space,Don't Know,0,All,Urban,All,All,All,All
Clackmannanshire,2018,distance_to_nearest_green_or_blue_space,Don't Know,1,All,All,All,All,All,All
Glasgow City,2017,distance_to_nearest_green_or_blue_space,Don't Know,2,Female,All,All,All,All,All
Angus,2018,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,8,All,Urban,All,All,All,All
East Renfrewshire,2018,distance_to_nearest_green_or_blue_space,Don't Know,0,Female,All,All,All,All,All
East Lothian,2014,distance_to_nearest_green_or_blue_space,Within a 6-10 minute walk,16,All,Urban,All,All,All,All
Midlothian,2014,distance_to_nearest_green_or_blue_space,Within a 6-10 minute walk,18,All,Urban,All,All,All,All
Aberdeen City,2013,distance_to_nearest_green_or_blue_space,Don't Know,1,All,Urban,All,All,All,All
Perth and Kinross,2019,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,13,All,Urban,All,All,All,All
Na h-Eileanan Siar,2016,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,18,All,Urban,All,All,All,All
Glasgow City,2017,distance_to_nearest_green_or_blue_space,Don't Know,5,All,All,All,All,Pensioners,All
Scotland,2014,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,12,All,Urban,All,All,All,All
Scottish Borders,2014,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,74,All,Urban,All,All,All,All
Clackmannanshire,2015,distance_to_nearest_green_or_blue_space,Within a 6-10 minute walk,26,All,Urban,All,All,All,All
